count,planning_time
191,0.106361
192,0.015991
193,0.121008
194,0.021232
195,0.107986
196,0.110522
197,0.115728
198,0.11291
199,0.016759
200,0.108011
201,0.110892
202,0.015775
203,0.120686
204,0.103753
205,0.117035
206,0.111336
207,0.105968
208,0.0172
209,0.021753
210,0.021245
211,0.10941
212,0.116819
213,0.013296
214,0.112659
215,0.017223
216,0.113943
217,0.105272
218,0.114458
219,0.110547
220,0.120752
221,0.019871
222,0.119601
223,0.109298
224,0.111485
225,0.113484
226,0.117134
227,0.116055
228,0.121417
229,0.021315
230,0.111067
231,0.11015
232,0.021521
233,0.119895
234,0.021806
235,0.110762
236,0.109988
237,0.107382
238,0.106652
239,0.101277
240,0.016401
241,0.111684
242,0.111196
243,0.111278
244,0.114601
245,0.105351
246,0.106218
247,0.11097
248,0.11948
249,0.119938
250,0.119888
251,0.111138
252,0.01833
253,0.107308
254,0.109729
255,0.113492
256,0.021661
257,0.11039
258,0.017839
259,0.105134
260,0.130363
261,0.110492
262,0.105012
263,0.016323
264,0.021432
265,0.113108
266,0.113256
267,0.112406
268,0.120147
269,0.019391
270,0.017667
271,0.104991
272,0.114452
273,0.114524
274,0.01531
275,0.107793
276,0.106284
277,0.018505
278,0.115702
279,0.020365
280,0.109002
281,0.032264
282,0.123251
283,0.107472
284,0.104433
285,0.107106
286,0.114544
287,0.105815
288,0.01459
289,0.114065
290,0.119989
291,0.111655
292,0.120238
293,0.0314
294,0.120641
295,0.13152
296,0.120702
297,0.129283
298,0.017833
299,0.110156
300,0.015907
301,0.120922
302,0.112414
303,0.116039
304,0.105621
305,0.11112
306,0.123427
307,0.105719
308,0.110262
309,0.114531
310,0.117061
311,0.111912
312,0.106372
313,0.110737
314,0.10972
315,0.108901
316,0.120057
317,0.016662
318,0.125235
319,0.105905
320,0.111196
321,0.12009
322,0.108256
323,0.106989
324,0.114543
325,0.102759
326,0.114594
327,0.103463
328,0.114913
329,0.104722
330,0.106167
331,0.120505
332,0.121367
333,0.132653
334,0.121224
335,0.116514
336,0.113404
337,0.106032
338,0.107031
339,0.107718
340,0.10411
341,0.022385
342,0.105112
343,0.106368
344,0.105322
345,0.106368
346,0.107638
347,0.107904
348,0.117981
349,0.120305
350,0.108116
351,0.015385
352,0.10733
353,0.115491
354,0.10666
355,0.111189
356,0.01697
357,0.105445
358,0.108611
359,0.110357
360,0.110932
361,0.108655
362,0.106332
363,0.105835
364,0.110021
365,0.021892
366,0.121876
367,0.109008
368,0.017733
369,0.108024
370,0.115879
371,0.107004
